Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
Abominable,2019,97,"Animation, Adventure, Comedy",PG,7,61,"42,282","190,304,772",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,,"vampire, dracula, bite, battle, 15th century, ottoman empire, vlad, fang vamp, tepes"
The White Storm 2: Drug Lords,2019,99,"Action, Crime",C18,6,,"1,511","189,396,380","A wealthy businessman tries to take down a drug kingpin that he used to work with, while a policeman tries to find justice without breaking the law.",,"usa president, conspiracy, secret service, the white house"
Crazy Alien,2019,116,"Comedy, Sci-Fi",,5.7,,"1,591","327,598,891","A monkey trainer whose act goes wrong after an alien crash lands on Earth and injures his monkey. Desperate to perform the act, he attempts to train the alien instead, but is punished after the alien regains his powers.",,"friendship, spaceship, space, alien, alien invasion, alien friendship, awful leader, taking resposibility"
The Lion King,2019,118,"Animation, Adventure, Drama",PG,6.8,55,"266,002","1,663,075,401","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",,"loss of parents, wild boar, uncle, shaman, redemption, king, scar, hyena, meerkat"
The Captain,2019,111,"Action, Adventure, Drama",,6.2,,"2,436","417,282,021","When the windshield of his commercial airplane shatters at 30,000 feet in the air, a pilot and his flight crew work to ensure the safety of the passengers and land the plane.",,"berlin, loss of father, airplane, baby-snatching"
Alita: Battle Angel,2019,122,"Action, Adventure, Sci-Fi",PG-13,7.3,53,"292,417","404,980,543","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",,"friendship, spaceship, space, alien, alien invasion, alien friendship, awful leader, taking resposibility"
Maze Runner: The Death Cure,2018,143,"Action, Adventure, Sci-Fi",PG-13,6.2,50,"161,055","288,175,335","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",,"based on novel, maze, post-apocalyptic, dystopia, escape, memory loss, erased memory, trapped, dystopic future, runner, based on young adult novel"
Tomb Raider,2018,119,"Action, Adventure, Fantasy",PG-13,6.3,48,"226,300","274,950,803","Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft disappeared.",,"treasure, buddhist monk, planetary configuration, angkor wat, illuminati, william blake, treasure hunt, archaeologist, based on video game, archeology "
Incredibles 2,2018,118,"Animation, Action, Adventure",PG,7.5,80,"329,407","1,243,225,667",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,,"secret identity, secret, hero, island, wretch, supernatural powers, weapon, lawsuit, superhero"
Green Book,2018,130,"Biography, Comedy, Drama",PG-13,8.2,69,"564,977","321,752,656",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,,"mississippi, based on novel, exploitation, racial segregation, racism, writer, maid, moral courage, ressentiment, southern belle, racial issues, 1960s, newspaper columnist"
Ocean's Eight,2018,110,"Action, Comedy, Crime",PG-13,6.3,61,"240,799","297,795,726",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's annual Met Gala.,,"sequel, fabergé egg, dutch eastindian company, second, part, golden egg, goon"
Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",PG-13,8.4,68,"1,195,837","2,052,415,039",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,,"mutant, supernatural powers, marvel comic, superhero, based on comic, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s"
Jurassic World: Fallen Kingdom,2018,128,"Action, Adventure, Sci-Fi",PG-13,6.1,51,"342,252","1,310,466,296","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",,"exotic island, dna, paleontology, tyrannosaurus rex, velociraptor, san diego, dinosaur, jurassic park, animal horror"
Pacific Rim: Uprising,2018,111,"Action, Adventure, Sci-Fi",PG-13,5.6,44,"126,585","290,930,148","Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d"
Skyscraper,2018,102,"Action, Adventure, Thriller",PG-13,5.8,51,"133,247","304,868,961","A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",,"wishes come true, escapade, disorder, imaginary, miraculous event, imaginary kingdom, life turned upside down, nothing goes right"
Black Panther,2018,134,"Action, Adventure, Sci-Fi",PG-13,7.3,88,"834,329","1,349,926,083","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",,"vampire, dracula, bite, battle, 15th century, ottoman empire, vlad, fang vamp, tepes"
Ralph Breaks the Internet,2018,112,"Animation, Adventure, Comedy",PG,7,71,"181,732","529,323,962","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",,"support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject"
Aquaman,2018,143,"Action, Adventure, Fantasy",PG-13,6.8,55,"518,772","1,152,028,393","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",,"based on fairy tale, giant"
Deadpool 2,2018,119,"Action, Adventure, Comedy",R,7.6,66,"641,805","785,896,609","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",,"anti hero, mercenary, marvel comic, superhero, based on comic, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, self healing"
The Meg,2018,113,"Action, Horror, Sci-Fi",PG-13,5.7,46,"206,586","529,338,515",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,,"music, sequel, singer, male female relationship, audition, group of friends, duringcreditsstinger, singing competition, female musician, singing contest, woman director, acapella"
The Grinch,2018,85,"Animation, Comedy, Family",PG,6.4,51,"90,754","526,760,632",A grumpy Grinch plots to ruin Christmas for the village of Whoville.,,"holiday, christmas party, new love, santa claus, village, kids and family"
Detective Chinatown 2,2018,121,"Action, Comedy, Mystery",R,6.1,48,"3,134","544,185,156",Tang and Qin team up to solve a murder in New York's Chinatown.,,"rome, vatican, based on novel, symbolism, christian, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern"
Operation Red Sea,2018,142,"Action, Drama, Thriller",TV-MA,6.6,,"7,916","579,330,426",PLA Navy Marine Corps launch a hostage rescue operation in the fictional Republic of Ihwea and undergo a fierce battle with rebellions and terrorism.,,"cia, wife husband relationship, revolution, hiding place, press conference, biography, hanged man, american abroad, extraction, iran hostage crisis, intelligence agent, langley virginia, 1980s"
Ready Player One,2018,140,"Action, Adventure, Sci-Fi",PG-13,7.4,64,"483,028","607,874,134","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",,"tree, based on children's book, walled city, reforestation, tree cutting"
Bumblebee,2018,114,"Action, Adventure, Sci-Fi",PG-13,6.7,66,"187,441","467,989,645","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",,"homeland, musical, training, daughter, cricket, princess, dragon, luck"
Ant-Man and the Wasp,2018,118,"Action, Adventure, Comedy",PG-13,7,70,"447,605","622,674,139","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",,"marvel comic, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d"
Fantastic Beasts: The Crimes of Grindelwald,2018,134,"Adventure, Family, Fantasy",PG-13,6.5,52,"307,556","655,755,901","Gellert Grindelwald plans to raise an army of wizards to rule over non-magical beings. In response, Newt Scamander's former professor, Albus Dumbledore, seeks his help to stop him.",,"robbery, magic, teleportation, suitcase, new york city, subway station, central park, wizard, goblin, magical creature"
Dying to Survive,2018,117,"Comedy, Drama",Not Rated,7.8,63,"7,860","451,183,391",The story of how a small drugstore owner became the exclusive selling agent of a cheap Indian generic drug against Chronic Granulocytic Leukemia in China.,,"thailand, tsunami, family vacation, tidal wave, catastrophe, swept away, separation from family, boxing day, 21st century"
A Star Is Born,2018,136,"Drama, Music, Romance",R,7.6,88,"417,461","436,433,122",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,,"vampire, dracula, bite, battle, 15th century, ottoman empire, vlad, fang vamp, tepes"
Mamma Mia! Here We Go Again,2018,114,"Comedy, Musical, Romance",PG-13,6.6,60,"108,255","402,264,843","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",,"single parent, greece, musical, daughter, single, mother daughter relationship, duringcreditsstinger, woman director"
Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",PG-13,7.7,87,"376,703","791,657,398","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",,"london england, spy, austria, villain, sequel, mission, conspiracy, vienna opera, vienna"
A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",PG-13,7.5,82,"580,482","340,952,971",A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,,"secret identity, secret, hero, island, wretch, supernatural powers, weapon, lawsuit, superhero"
Venom,2018,112,"Action, Adventure, Sci-Fi",PG-13,6.6,35,"535,359","856,085,151","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",,"saving the world, dc comics, superhero, based on comic, superhuman, alien invasion, reboot, super powers, dc extended universe"
Solo: A Star Wars Story,2018,135,"Action, Adventure, Sci-Fi",PG-13,6.9,62,"377,609","392,924,807","Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",,"rebel, space battle, space travel, war, prequel, spaceship, space, alien, death star, jedi, rebellion, female protagonist, space western, gunfight, suicide mission, robot, spin off, laser gun, space opera, alien language, against the odds, blind man"
Hotel Transylvania 3: Summer Vacation,2018,97,"Animation, Adventure, Comedy",PG,6.3,54,"84,709","528,583,774","Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",,"transylvania, vatican, vampire, dracula, bite, frankenstein, werewolf, multiple monsters, van helsing, castles, mr. hyde"
Spider-Man: Into the Spider-Verse,2018,117,"Animation, Action, Adventure",PG,8.4,87,"665,886","384,298,736",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,,"loss of lover, spider, thanksgiving, bad boss, hostility, marvel comic, superhero, pokies, evil, reference to superman, goblin"
Bohemian Rhapsody,2018,134,"Biography, Drama, Music",PG-13,7.9,49,"589,662","910,809,311","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",,"rebel, southern usa, loss of son, martial arts, general, loss of family, passion, insurgence, french, daughter, south carolina, british, based on true story, gore, mission"
Fifty Shades Freed,2018,105,"Drama, Mystery, Romance",R,4.5,31,"73,668","371,985,018","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",,"female nudity, sex, based on novel, boat, nudity, kiss, sequel, bdsm, adaptation, erotic movie, oral sex"
Hello Mr. Billionaire,2018,118,Comedy,,6.1,,"2,640","366,961,907","A pathetic minor league Soccer Goalkeeper was given a task - to spend 1 Billion in thirty days, if successful he will get 30 Billion. However, he's not allowed to tell anyone about the task and he must not own any valuables by end of it.",,"loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero"
The Nun,2018,96,"Horror, Mystery, Thriller",R,5.3,46,"169,521","366,082,797",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,,"christianity, jewry, roman empire, jesus christ, suffering, apostle, last supper, roman, bible, mission, torture"
Monster Hunt 2,2018,110,"Adventure, Comedy, Fantasy",Not Rated,5.4,63,"2,007","361,682,618",The story continues with Wuba after he parts way with his human parents Tian and Lan for his own journey. Peace has not been restored in the monster world after the death of the evil monster king.,,monster
Peter Rabbit,2018,95,"Animation, Adventure, Comedy",PG,6.6,51,"47,720","351,496,066",A rebellious rabbit tries to sneak into a farmer's vegetable garden.,,"falsely accused, film business, hiding place, suspicion of murder, mental breakdown, innocence, cartoon, cartoon sex, love sickness, private detective, movie star, live action and animation"
Mary Poppins Returns,2018,130,"Adventure, Comedy, Family",PG,6.7,66,"94,883","349,546,142","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",,"surgeon, stalker, romantic comedy, dream girl, taboo, screwball comedy, frisbee, troubadour, gross out comedy, intellectual disability"
Halloween,2018,106,"Crime, Horror, Thriller",R,6.5,67,"168,496","259,939,835","Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",,"hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick"
Rampage,2018,107,"Action, Adventure, Sci-Fi",PG-13,6.1,45,"184,022","428,128,233","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",,"infidelity, revenge, unfaithful boyfriend, woman, sitting on a toilet, public toilet, marital infidelity, laxative, unfaithful husband"
Project Gutenberg,2018,130,"Action, Crime, Mystery",C18,6.8,,"5,080","188,116,796","Hong Kong police are hunting a counterfeiting gang led by a mastermind code-named ""Painter"". In order to crack this true identity, the police recruit gang member Lee Man to unmask ""Painter's"" secret identity.",,duringcreditsstinger
The Island,2018,134,"Comedy, Drama",,6.2,61,"1,983","198,326,350","A cataclysmic event causes a man, who dreams of winning the lottery, to become stranded on an island with his co-workers.",,"mission, mysterious island, missing person, duringcreditsstinger, 3d"
Crazy Rich Asians,2018,120,"Comedy, Drama, Romance",PG-13,6.9,74,"189,199","239,343,729",This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.,,
Creed II,2018,130,"Action, Drama, Sport",PG-13,7.1,66,"154,803","214,215,889","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",,"usa, transporter, loss of lover, cold war, soviet union, boxer, kgb, dying and death, loss of powers, boxing match, training, matter of life and death, sibiria, friendship, victory, sport, revenge"
Christopher Robin,2018,104,"Adventure, Comedy, Drama",PG,7.2,60,"84,446","197,744,377","A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",,"england, crusade, mercifulness, robin hood, folk hero"
Us and Them,2018,120,"Drama, Romance",Not Rated,7.4,,"5,238","209,221,380","During the hectic chunyun period, two strangers traveling home meet on the train.",,"japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma"
Smallfoot,2018,96,"Animation, Adventure, Comedy",PG,6.6,60,"42,797","218,015,531","High up on a mountain peak surrounded by clouds, a secret Yeti society lives in peace and harmony. One day, a Yeti witnesses an airplane crash; Inside lies ""Smallfoot"", a legendary creature that will rock the society to its core.",,"himalaya, pakistan, climbing, k2, mountaineering, karakoram"
The Equalizer 2,2018,121,"Action, Crime, Thriller",R,6.7,50,"195,662","190,400,157","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",,"corruption, assassin, hostage, fbi, hitman, russian, security camera, sadism, vigilante, sociopath, revenge, suspense, organized crime, gore, gangster, violence, teenage prostitute, commando, interrogation, surveillance, ex soldier, faked death, loner, call girl, black ops, hand to hand combat, mysterious past"
xXx: Return of Xander Cage,2017,107,"Action, Adventure, Thriller",PG-13,5.2,42,"96,951","346,118,277","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",47971,"tattoo, spy, airplane, secret agent, parachute, swimming pool, sequel, extreme sports, back from the dead, free fall"
Never Say Die,2017,100,"Comedy, Fantasy, Sport",,6.2,,"1,788","334,530,869",A male UFC boxer switches bodies with the female reporter who exposed his bribes. Now they must help each other win the championship.,,"holiday, london england, film making, christmas party, country house, room exchange, surrey, romantic comedy, los angeles, multiple storylines, woman director, christmas"
Kong: Skull Island,2017,118,"Action, Adventure, Fantasy",PG-13,6.7,62,"344,984","568,652,812","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.",293167,"vietnam veteran, 1970s, monster, expedition, island, king kong, u.s. soldier, kaiju, aftercreditsstinger, monster island, uncharted"
Paddington 2,2017,103,"Adventure, Comedy, Family",PG,7.8,88,"93,323","227,994,792","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",,"england, train station, based on novel, bear, anthropomorphism, talking to animals, children's book"
Jumanji: Welcome to the Jungle,2017,119,"Action, Adventure, Comedy",PG-13,6.9,58,"436,806","995,339,117","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",,"board game, disappearance, based on children's book, new home, recluse, giant insect"
Despicable Me 3,2017,89,"Animation, Adventure, Comedy",PG,6.2,49,"153,075","1,034,800,131","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",324852,minions
Thor: Ragnarok,2017,130,"Action, Adventure, Comedy",PG-13,7.9,74,"812,779","855,301,806","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",284053,"marvel comic, sequel, superhero, based on comic, female villain, norse mythology, marvel cinematic universe, norse god"
Kingsman: The Golden Circle,2017,141,"Action, Adventure, Comedy",R,6.7,44,"361,359","410,902,662","After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",,"stone age, daughter, father, prehistoric, ancient world, father daughter relationship, family, cavemen, aftercreditsstinger, duringcreditsstinger"
Murder on the Orient Express,2017,114,"Crime, Drama, Mystery",PG-13,6.5,52,"295,111","352,794,081","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",,"santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas"
A Dog's Purpose,2017,100,"Adventure, Comedy, Drama",PG,7.2,43,"78,757","205,035,819","A dog discovers the meaning of its own existence through the lives of the humans it teaches to laugh and love. Reincarnated as multiple canines over the course of five decades, the lovable pooch develops an unbreakable bond with Ethan.",381289,"based on novel, human animal relationship, reincarnation, grandparents, dog, firecracker, adaptation, deflated football"
Fifty Shades Darker,2017,118,"Drama, Mystery, Romance",R,4.6,33,"111,044","381,545,846","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",341174,"female nudity, sex, based on novel, boat, nudity, kiss, sequel, bdsm, adaptation, erotic movie, oral sex"
Wolf Warrior 2,2017,123,"Action, Adventure, Drama",Not Rated,5.9,44,"8,888","870,325,439","China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.",,"new york, israel, middle east, hairdresser, ladykiller, mossad, israeli, palestinian, heart-throb, middle east conflict, hairstyle, hacky sack"
Cars 3,2017,102,"Animation, Adventure, Comedy",G,6.7,59,"120,665","383,930,656",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,260514,"cgi, anthropomorphism"
Youth,2017,135,"Drama, Romance, War",Not Rated,7,69,"3,450","227,091,290",A look at the lives of members of a Military Cultural Troupe in the 1970s.,,"monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger"
The Shape of Water,2017,123,"Drama, Fantasy, Romance",R,7.3,87,"446,296","195,243,464","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",,"middle east, arms dealer, malibu, marvel comic, superhero, based on comic, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson"
Alien: Covenant,2017,122,"Horror, Sci-Fi, Thriller",R,6.4,65,"302,560","240,891,763","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",126889,"android, space travel, alien life-form, infection, egg, engineer, sequel, spaceship, space, alien, gore, outer space, robot, scientist, genocide, creation, biological experiment, acid, xenomorph, alien technology, genetic mutation"
Pitch Perfect 3,2017,93,"Comedy, Music",PG-13,5.8,40,"71,513","185,400,345","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",353616,
Wonder Woman,2017,141,"Action, Adventure, Fantasy",PG-13,7.3,76,"697,884","823,970,682","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",297762,"dc comics, hero, greek mythology, island, world war i, superhero, based on comic, superheroine, period drama, heroine, super powers, woman director, 1910s, dc extended universe"
The Emoji Movie,2017,86,"Animation, Adventure, Comedy",PG,3.4,12,"70,770","217,776,646","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",378236,"app, emoji, smartphone"
Geostorm,2017,109,"Action, Sci-Fi, Thriller",PG-13,5.3,21,"117,859","221,900,160","When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",,"italy, based on novel, europe, amnesia, book, sequel, murder, religion, symbology"
Logan,2017,137,"Action, Drama, Sci-Fi",R,8.1,77,"827,061","619,179,950","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",263115,"cyborg, experiment, self-destruction, mutant, future, dystopia, immortality, marvel comic, sequel, superhero, based on comic, scientific experiment, super powers, neo-western, troubled past, life on the margin"
The Mummy,2017,110,"Action, Adventure, Fantasy",PG-13,5.4,34,"205,565","409,231,607","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia and terrors that defy human comprehension.",282035,"monster, mummy, horror"
Spider-Man: Homecoming,2017,133,"Action, Adventure, Sci-Fi",PG-13,7.4,73,"716,086","880,166,924","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,"Action, Adventure, Fantasy",PG-13,6.5,39,"343,758","795,922,298",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,166426,"sea, ship, sequel, artifact, treasure map, pirate, period drama, monkey, swashbuckler, ghost, caribbean, trident"
Justice League,2017,120,"Action, Adventure, Fantasy",PG-13,6.1,45,"477,471","661,326,987","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",141052,"dc comics, based on comic, super powers, dc extended universe"
Transformers: The Last Knight,2017,154,"Action, Adventure, Sci-Fi",PG-13,5.2,27,"168,036","605,425,157","A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",335988,"knight, transformers"
Get Out,2017,104,"Horror, Mystery, Thriller",R,7.8,85,"691,337","255,745,157","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",419430,"externally controlled action, parents-in-law, satire, dark comedy, interracial relationship, disappearance, racism, african american, stereotype, police harassment, missing, race-conscious"
Wonder,2017,113,"Drama, Family",PG,7.9,66,"177,646","315,025,930","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",,"american football, adoption, education, private school, sport, american football player, duringcreditsstinger"
Beauty and the Beast,2017,129,"Adventure, Family, Fantasy",PG,7.1,65,"333,388","1,266,115,964","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",321612,"france, magic, castle, fairy tale, musical, curse, anthropomorphism, creature, held captive, gothic, 18th century, beast, 3d"
War for the Planet of the Apes,2017,140,"Action, Adventure, Drama",PG-13,7.4,82,"280,533","490,719,763","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",281338,"based on novel, sequel, talking animal, ape"
Blade Runner 2049,2017,164,"Action, Drama, Mystery",R,8,81,"658,996","267,685,209","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",,"based on novel, maze, post-apocalyptic, dystopia, escape, memory loss, erased memory, trapped, dystopic future, runner, based on young adult novel"
Star Wars: Episode VIII - The Last Jedi,2017,152,"Action, Adventure, Fantasy",PG-13,6.9,84,"669,719","1,334,407,706","The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",,"rebel, space battle, space travel, war, prequel, spaceship, space, alien, death star, jedi, rebellion, female protagonist, space western, gunfight, suicide mission, robot, spin off, laser gun, space opera, alien language, against the odds, blind man"
Baby Driver,2017,113,"Action, Crime, Drama",R,7.5,86,"605,224","226,945,087","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",339403,"robbery, atlanta, music, crime boss, romance, tinnitus, car chase, car, getaway driver"
Baahubali 2: The Conclusion,2017,167,"Action, Drama",Not Rated,8.2,,"113,896","254,158,390","Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",350312,"kingdom, bilingual"
Dunkirk,2017,106,"Action, Drama, History",PG-13,7.8,94,"736,149","527,816,307","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",374720,"france, beach, world war ii, evacuation, german, pilot, british army, royal navy, royal air force, private, allied forces, dunkirk"
The Post,2017,116,"Biography, Drama, History",PG-13,7.2,83,"161,591","193,764,664",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,,"future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future"
The Boss Baby,2017,97,"Animation, Adventure, Comedy",PG,6.3,50,"140,484","527,965,936","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",295693,"baby, family relationships, sibling rivalry, unreliable narrator, 3d, baby brother"
The Fate of the Furious,2017,136,"Action, Crime, Thriller",PG-13,6.6,56,"252,981","1,236,005,118","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",337339,"submarine, sequel, betrayal, fast cars, rescue mission, new york city, criminal mastermind, mysterious woman, 3d"
