Name of movie,Year of release,Watchtime,Genre,Classification,Movie Rating,Metascore,Votes,Gross collection,Des,id,keywords
Hancock,2008,92,"Action, Comedy, Drama",PG-13,6.4,49,"510,202","629,443,428",Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,8960,"flying, alcohol, love of one's life, forbidden love, lovers, affection, advertising expert, alcoholism, invulnerability, superhero, pokies, duringcreditsstinger"
Madagascar: Escape 2 Africa,2008,89,"Animation, Adventure, Comedy",PG,6.6,61,"246,378","603,900,354","The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",10527,"africa, jealousy, dance, hunger, lion, zoo, hippopotamus, chimp, penguin, volcano, madagascar, airplane, zebra, sequel, shark, imax, duringcreditsstinger"
Ponyo,2008,101,"Animation, Adventure, Comedy",G,7.6,86,"162,312","204,920,882","A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",12429,"mother, fish, cliff, father, mermaid, princess, anime"
Twilight,2008,122,"Drama, Fantasy, Romance",PG-13,5.3,56,"486,121","408,430,415","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",8966,"soulmates, vampire, forbidden love, immortality, trust, desire, duringcreditsstinger, woman director, interspecies romance, based on young adult novel, fang vamp"
Valkyrie,2008,121,"Drama, History, Thriller",PG-13,7.1,56,"258,561","201,545,517","A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",2253,"berlin, suicide, bomb, assassination, resistance, wife husband relationship, world war ii, adolf hitler, plan, friendship, deception, treason, colonel, military officer, plot, german officer, piano wire, medal, violence"
Quantum of Solace,2008,106,"Action, Adventure, Mystery",PG-13,6.5,58,"469,648","589,580,482",James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,10764,"killing, undercover, secret agent, british secret service"
Gran Torino,2008,116,Drama,R,8.1,72,"812,717","269,958,228","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",13223,"rape, war veteran, immigration, priest, gang, old man, teenager, gangster, detroit, widower, car, hmong"
Indiana Jones and the Kingdom of the Crystal Skull,2008,122,"Action, Adventure",PG-13,6.2,65,"490,211","790,653,942",Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.,217,"saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology "
High School Musical 3: Senior Year,2008,112,"Comedy, Drama, Family",G,5,57,"67,284","252,909,177","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.",11887,"musical, music, high school, coming of age, teenager, high school student, duringcreditsstinger"
Iron Man,2008,126,"Action, Adventure, Sci-Fi",PG-13,7.9,79,"1,120,523","585,796,247","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",1726,"middle east, arms dealer, malibu, marvel comic, superhero, based on comic, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson"
The Mummy: Tomb of the Dragon Emperor,2008,112,"Action, Adventure, Fantasy",PG-13,5.2,31,"170,184","403,449,830","In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.",1735,
Mamma Mia!,2008,108,"Comedy, Musical, Romance",PG-13,6.5,51,"272,774","694,479,834",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,11631,"single parent, greece, musical, daughter, single, mother daughter relationship, duringcreditsstinger, woman director"
